,id,name,start_date_local,type,distance,moving_time,elapsed_time,total_elevation_gain,end_latlng,external_id
40,4616229506,Walk with RCD,2021-01-13T16:14:32Z,Walk,2633.6,2507,2801,42.5,"[52.464003, -2.14372]",garmin_push_6102994268
41,4609740262,Afternoon Run,2021-01-12T15:46:12Z,Run,14450.4,6319,6624,186.8,"[52.464035, -2.143561]",garmin_push_6096532922
42,4599129224,Afternoon Ride,2021-01-10T13:22:19Z,Ride,33571.3,6347,7699,391.6,"[52.464033, -2.143535]",garmin_push_6085844600
43,4593127309,Afternoon Run,2021-01-09T15:05:40Z,Run,10013.0,4117,4159,61.8,"[52.464796, -2.143845]",garmin_push_6080010591
44,4582893804,Afternoon Run,2021-01-07T16:32:49Z,Run,8607.7,3569,4123,86.6,"[52.46403, -2.143504]",garmin_push_6069830808
45,4577607730,Afternoon Run,2021-01-06T15:50:55Z,Run,9389.2,3795,3815,89.7,"[52.464015, -2.143566]",garmin_push_6064596918
46,4571941736,Afternoon Run,2021-01-05T16:15:33Z,Run,6785.5,2791,2794,85.0,"[52.463999, -2.14353]",garmin_push_6058953812
47,4569302235,Indoor Bike,2021-01-05T06:28:38Z,Ride,9700.7,1737,1737,0,,garmin_push_6056218108
48,4562208583,Indoor Ride,2021-01-03T16:59:12Z,Ride,20498.6,4118,4118,0,,garmin_push_6048959614
49,4561356257,Easy Run,2021-01-03T15:25:37Z,Run,4294.1,1780,1780,46.9,"[52.463951, -2.143505]",garmin_push_6048125086
50,4549823839,Indoor Ride,2021-01-01T15:39:15Z,Ride,21896.1,4566,4566,0,,garmin_push_6036754508
51,4548315195,Walk with Rachel,2021-01-01T11:37:43Z,Walk,4988.9,4103,4169,83.4,"[52.464011, -2.143715]",garmin_push_6035222409
52,4544102376,Icy walk,2020-12-31T10:48:22Z,Walk,11531.1,8670,9485,127.3,"[52.464028, -2.143572]",garmin_push_6030783030
53,4540169287,Steady Run,2020-12-30T16:03:42Z,Run,8977.9,3739,3755,92.8,"[52.464041, -2.143521]",garmin_push_6026698457
54,4535540159,Indoor Ride,2020-12-29T16:35:57Z,Ride,32328.8,5632,5632,0,,garmin_push_6021925074
55,4530569348,Indoor Ride,2020-12-28T16:51:08Z,Ride,20629.3,3602,3602,0,,garmin_push_6016683802
56,4524842961,Run/Walk,2020-12-27T10:48:47Z,Run,20604.2,11415,12229,104.6,"[52.464079, -2.143434]",garmin_push_6010704443
